matrix.6x10
10 10
1.8178942 1.4772984 1.3226457 0.76023758 0.96456022 1.3628659 1.192366 1.6041634 1.6271556 2.1891412 
1.7802453 1.6693403 2.1976584 1.1981267 1.1626864 2.1163755 1.7002795 1.6534215 1.6327881 2.266175 
2.4000084 1.923616 1.6496224 0.68468637 1.2962378 2.006235 1.6117473 1.7193108 1.9501964 2.3787349 
1.9611499 1.9683248 1.9381055 0.80747023 0.97139049 2.2057842 1.6309994 1.8821771 1.791526 2.3363508 
1.3824364 1.1868994 1.6013928 0.8355771 1.0090295 1.6746955 1.3676327 1.0865196 1.3055582 1.6024544 
2.9873951 2.3460918 2.6793432 1.4003881 2.0050721 2.9098904 2.7720392 1.9858544 2.7664233 3.307816 
1.6458203 1.4115749 1.8899366 0.97794725 1.2194146 2.0066198 1.9420791 1.0985992 1.6705849 1.9623769 
2.6417761 1.9283789 2.0301884 1.1424062 1.7499525 2.2303857 2.0988235 1.8321225 2.4400864 2.9125434 
2.9324524 2.4144037 2.4633594 1.2261939 1.7052839 2.6631393 2.0638081 2.3638534 2.4468252 3.1727989 
1.8353837 1.5838841 2.1379018 1.039257 1.3418068 2.287619 2.016004 1.207659 1.6913628 2.0087891 
